molecule,smiles,condition,validity,unique,novelty
<rdkit.Chem.rdchem.Mol object at 0x7f60ad997b70>,CCC(CC)C(=O)C(F)(F)F,"(5.0, 5.0, 5.0)",0.976,0.146,0.933
<rdkit.Chem.rdchem.Mol object at 0x7f60a0782080>,CC(C)C(=O)C(F)(F)C(C)C,"(5.0, 5.0, 5.0)",0.976,0.146,0.933
<rdkit.Chem.rdchem.Mol object at 0x7f60a0782170>,CC(=O)CC(C)(C)C(F)(F)F,"(5.0, 5.0, 5.0)",0.976,0.146,0.933
<rdkit.Chem.rdchem.Mol object at 0x7f60a077fc10>,CC(F)(F)CCCC(=O)C(F)(F)F,"(5.0, 5.0, 5.0)",0.976,0.146,0.933
<rdkit.Chem.rdchem.Mol object at 0x7f60a077fd00>,CC(=O)CC(F)(F)C(C)(F)F,"(5.0, 5.0, 5.0)",0.976,0.146,0.933
<rdkit.Chem.rdchem.Mol object at 0x7f60a077fdf0>,CC(=O)CC(=O)C(F)(F)C(F)F,"(5.0, 5.0, 5.0)",0.976,0.146,0.933
<rdkit.Chem.rdchem.Mol object at 0x7f60a077fee0>,CC(=O)C(F)(F)C(F)(F)C(C)C,"(5.0, 5.0, 5.0)",0.976,0.146,0.933
<rdkit.Chem.rdchem.Mol object at 0x7f60a077fb20>,CC(C)C(=O)C(F)(F)C(C)C,"(5.0, 5.0, 5.0)",0.976,0.146,0.933
<rdkit.Chem.rdchem.Mol object at 0x7f60a077fa30>,CC(=O)CC(F)(F)C(F)F,"(5.0, 5.0, 5.0)",0.976,0.146,0.933
<rdkit.Chem.rdchem.Mol object at 0x7f60a077f940>,CC(=O)CCC(C)(F)C(F)(F)F,"(5.0, 5.0, 5.0)",0.976,0.146,0.933
<rdkit.Chem.rdchem.Mol object at 0x7f60a077f850>,CC1(C)CC(C)(C(=O)C(F)(F)F)C1,"(5.0, 5.0, 5.0)",0.976,0.146,0.933
<rdkit.Chem.rdchem.Mol object at 0x7f60a077f760>,CC(C)CC(=O)C(F)(F)C(F)F,"(5.0, 5.0, 5.0)",0.976,0.146,0.933
<rdkit.Chem.rdchem.Mol object at 0x7f60a077f670>,CC(=O)C(F)(F)CC(F)F,"(5.0, 5.0, 5.0)",0.976,0.146,0.933
<rdkit.Chem.rdchem.Mol object at 0x7f60a077f580>,COCC(F)(F)C(C)(C)C(=O)Cl,"(5.0, 5.0, 5.0)",0.976,0.146,0.933
