molecule,smiles,condition,validity,unique,novelty
<rdkit.Chem.rdchem.Mol object at 0x7fa145e6d170>,CC(C)C[Si](OC(C)C)(C(C)(C)C)C(F)(F)F,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa161010da0>,CC(C)CC(C)C(C)CC1C(C)C1C1C(C)C(C)C2CC21,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e69c10>,CCCC(C)CCCC(=O)C(Cl)(Cl)C(F)(F)F,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e69df0>,CCCOC1CC(F)(F)C1(F)F,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e69ee0>,CC(C)C(C)CC(C)C(C)C(C)C(F)(F)F,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e69b20>,CCC(C)(F)C(F)(F)C(C)COC,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e69a30>,CC(C)COC(C(C)CCC=O)C(F)(F)F,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e69940>,CC1CCC2C(C1C)C2(F)F,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e69850>,CCC(F)(F)C(F)(Cl)C(C)C(=O)Cl,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e69d00>,CCC(OC(C)C(C)(CC)C(F)(F)F)C(F)(F)F,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e69670>,CC(C)C(Cl)[Si](Cl)(Cl)C(C)Cl,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e69580>,CCCCC(CCC)C(C)C(F)(F)F,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e69490>,FC(F)(F)C(F)(F)F,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e69760>,CCC(CC(C)C(C)(C)C)C(C)CCC(F)(F)F,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e692b0>,CC(C#N)CCC(CC(F)F)C(C)C(F)(F)F,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e691c0>,CS(=O)(=O)C(F)C(F)(F)C(F)C(F)F,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e690d0>,CCCCC(C#N)C(C=O)C(C)C(F)(F)F,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e693a0>,CC1C2CC3C4CCC(C)(C)C43C(C)(C2C)C1(C)C,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e69e40>,CCC1C2CC(F)C(C(F)(F)CC)C(C2)C1C,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e69f30>,CCCC(OC)C(C(CC)C(F)(F)F)S(C)(=O)=O,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e69c60>,CC(C(C(F)(F)F)C(F)(F)F)C(F)(F)F,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e69b70>,CCC(C)(CCC(C)C)C(F)(F)C(C)C,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e69a80>,CCC1CCCC(F)(F)C1(F)F,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e69d50>,CCCCO[Si]C(C)(C(C)C)C(C)C(C)C(C)C(C)C,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e698a0>,CCCCCC(C)COCC(F)(F)C(F)(F)F,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e69990>,CC(C)C(C)(C)C12C3CC(C)C3(C)C1(C)C2(C)C(C)C,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e696c0>,CCCCCCCCC(C)C(F)(F)C(F)(F)C(F)F,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e697b0>,CCCCC1CCC(C(F)(F)F)(C(F)(F)F)CC1,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e694e0>,CC(C)CC1CC(C(F)(F)F)C1C,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e693f0>,CCC(CF)C(C)C(F)(F)F,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e69300>,CS(=O)(=O)C(F)(F)C(F)C(F)F,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e695d0>,CC1C2C3CC4C5C1C2C5(C)S(=O)(=O)C34,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e69120>,CCC1C(C#N)C2CC1C1C(C)C21C,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e69030>,CC(C)CC(C)CC(C)C(F)(F)F,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e63f80>,CCC(CCCC(F)C(F)(F)F)CC(F)F,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e69210>,CC12C3CC45C1C(C32)C4C(C)(C)C5(C)C,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e63da0>,CCCCC(C)COOC(F)(F)C(F)(F)F,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e63cb0>,CCCC(C)C(C(C)CCC)C(C)C(F)(F)F,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e63bc0>,CC(C(C)C1(C)CC1(C)C)C(F)(F)F,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e63e90>,CC(C)(C)C1CC2C(CC1C=O)C1CC(C(F)(F)F)CC21,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e63ad0>,CC(C)C(C(C)CC(C(F)F)C(F)(F)F)N(C)C,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e638f0>,CCCC(C(C)C)C(C)C(F)(F)F,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e63800>,CC1CCCC(C(C)(C(F)F)C(F)(F)F)C1C,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e63710>,CCCCC(C)C(C)[Si](Cl)(Cl)Cl,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e63620>,CC(C)C1CC(C)C(C(C)C(F)(F)F)C1,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e63530>,CCC(Cl)C(CC)ON(C)CCC(Cl)Cl,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e63440>,CC(F)CCCC(C)(F)C(C)(F)C1OO1,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e63350>,CCCC(C(CCC=O)C(F)(F)F)C(F)(F)F,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e639e0>,CCC(C(C)CC(F)(F)F)S(=O)(=O)S(C)(=O)=O,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e63210>,CC(F)(F)S(=O)(=O)C(C)(F)C(F)F,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e632b0>,CC1OC(C)(C(C)(C#N)S(C)(=O)=O)C1C(F)(F)F,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e63ee0>,CCC12C(C)CC(C)(C)C1C(C#N)C2(C)C,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e63170>,COCC1(C)C(C)C(C)C2C(N(C)C)C(C(C)C)C21,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e63df0>,CC(F)CC(F)C(C)F,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e63c10>,CCC1CC(C(C)(C)C)SC1(SC)C(F)(F)F,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e63b20>,CC1CCC2(C(F)(F)F)CC(C1)C2C#N,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e63a30>,CC(CC(F)(F)F)C1CC1C1(C)CC(C)C1C,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e63940>,CCC(OCCC(F)(F)F)C(C)C(C)(C)C,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e63850>,CC1CC2(F)CC(F)(F)CC(F)(C1)C2F,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e63760>,CC1CC(S(C)(=O)=O)C(C(F)(F)F)C1C,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e63670>,CCC1C2C3C4C5CC6(C)C1N3C56C24,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e63580>,CCCC(C)CCC(C)C(C(C)C)C(F)(F)F,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e63490>,CC(Cl)CCCC(C)(F)C(C)(Cl)Cl,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e63d00>,CC(C#N)C(CS(C)(=O)=O)C(C)C(F)(F)F,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e633a0>,CCC[Si](OC)(OC)C(C)(C)C(C)(C)N(C)C(C)C,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e63260>,CC(C)C(C)CCC(C)(C)C(C)C(F)(F)F,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e63300>,CCCC(B(Cl)CC(C)C(F)(F)F)C(C)C(C)C,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e631c0>,CC(C)(C)C1CC(C(F)(F)F)C(C)(C=O)C1C(C)(C)C,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e63080>,CCC(OC)C(F)(F)CS(=O)(=O)CC(F)(F)F,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e5df30>,CCCCC(C)N(C)CC(CC(C)C)C(F)(F)F,5.0,0.918,0.964,0.957
<rdkit.Chem.rdchem.Mol object at 0x7fa145e5de40>,CC1CC1(C)C(F)(F)F,5.0,0.918,0.964,0.957
