molecule,smiles,condition,validity,unique,novelty
<rdkit.Chem.rdchem.Mol object at 0x7f54dc1b5030>,CC(=O)C(C)CC(Cl)C(Cl)(Cl)C(C)C,-2.0,0.96,0.981,0.984
<rdkit.Chem.rdchem.Mol object at 0x7f54feb1e530>,CC(C)C1C(C)C2CCC3C(C)C(C)C1C(C)C32C,-2.0,0.96,0.981,0.984
<rdkit.Chem.rdchem.Mol object at 0x7f54dc1b1bc0>,CC1(F)C2C3CCC4C(C3)C2C41,-2.0,0.96,0.981,0.984
<rdkit.Chem.rdchem.Mol object at 0x7f54dc1b1f80>,CCCC(=O)CS(=O)(=O)C(C#N)C(C)C(F)(F)F,-2.0,0.96,0.981,0.984
<rdkit.Chem.rdchem.Mol object at 0x7f54dc1b1cb0>,CCC1C2C3C(C(C)C)C4CC(C43)C2S1(=O)=O,-2.0,0.96,0.981,0.984
<rdkit.Chem.rdchem.Mol object at 0x7f54dc1b1da0>,CC(C)CC(F)C1CC(C)C(C)(C)C(C(C)(C)C(C)C)C1,-2.0,0.96,0.981,0.984
<rdkit.Chem.rdchem.Mol object at 0x7f54dc1b1ad0>,CCC1C(C)C1C(C)(C)C1CC1(C)C(C)C,-2.0,0.96,0.981,0.984
<rdkit.Chem.rdchem.Mol object at 0x7f54dc1b1e90>,COS(=O)(=O)C(F)C(F)CC(C)CCCC(C)F,-2.0,0.96,0.981,0.984
<rdkit.Chem.rdchem.Mol object at 0x7f54dc1b18f0>,CCC(C)C1C2CC(C)C(C2)CC1C(F)(F)F,-2.0,0.96,0.981,0.984
<rdkit.Chem.rdchem.Mol object at 0x7f54dc1b1800>,CCC1C2CC(C)C3(C)C1C23S(C)(=O)=O,-2.0,0.96,0.981,0.984
<rdkit.Chem.rdchem.Mol object at 0x7f54dc1b19e0>,CC1C(C)C2C(C)C2(C)C1C(C#N)CC#N,-2.0,0.96,0.981,0.984
<rdkit.Chem.rdchem.Mol object at 0x7f54dc1b1620>,CCC(C)C1C23C(C)CC4CC2C13C4OC,-2.0,0.96,0.981,0.984
<rdkit.Chem.rdchem.Mol object at 0x7f54dc1b1710>,CCCC(C)(C)C12C3CC1(C)C2(C)C(C)CC3C,-2.0,0.96,0.981,0.984
<rdkit.Chem.rdchem.Mol object at 0x7f54dc1b1530>,CCCCC(OC)C(C(C)(C)C)C(C)(CC)C(C)(C)C,-2.0,0.96,0.981,0.984
<rdkit.Chem.rdchem.Mol object at 0x7f54dc1b1350>,CCCCCCCCCC(C)(Cl)C(C)C(F)(F)F,-2.0,0.96,0.981,0.984
<rdkit.Chem.rdchem.Mol object at 0x7f54dc1b1440>,CC1C(C(CC(C)(C)C)C(C)(C)C)C1(C)C,-2.0,0.96,0.981,0.984
<rdkit.Chem.rdchem.Mol object at 0x7f54dc1b1170>,CCCC(C)(CCCCC(F)(F)F)C(C)C#N,-2.0,0.96,0.981,0.984
<rdkit.Chem.rdchem.Mol object at 0x7f54dc1b1080>,CC1C(C#N)CC2C1C2(C(C)C)C(C)C,-2.0,0.96,0.981,0.984
<rdkit.Chem.rdchem.Mol object at 0x7f54dc1b1260>,CC(F)CC(F)CF,-2.0,0.96,0.981,0.984
<rdkit.Chem.rdchem.Mol object at 0x7f54dc1b1df0>,COC1(C)C(C)CCC(C=O)C1C(F)(F)F,-2.0,0.96,0.981,0.984
