molecule,smiles,condition,validity,unique,novelty
<rdkit.Chem.rdchem.Mol object at 0x7fed0d99a080>,CCCC(C)CC(C)Cl,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d995ee0>,CC(=O)CCC(C)C(C)(C)C(C)C=O,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d995b20>,CCCCC[Si](C)(C)[Si],5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d995c10>,COCCCC(=O)CCC(C)C=O,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d995d00>,CC1CCC(C#N)CC1=O,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d995df0>,CC(CCCCC#N)[Si](C)(C)F,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed35484350>,CCC(CC)CCCC#N,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d995940>,CCCC(C)(C)CC(=O)CC(=O)OCC,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d995850>,CC1CCC(C)(C(C)C=O)C1,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d995760>,CCCCC(F)(C(C)=O)C(C)=O,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d995670>,CC[Si](CC)O[Si](CC)(CC)CC,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d995580>,CC(C)C(C#N)C1CC1,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d995490>,CCC(C#N)CCC1OC(=O)CC1=O,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d9953a0>,CC(=O)C1(CC(C)(C=O)CC=O)CC1C,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d9952b0>,COC(=O)C1CC12CC2C(C)=O,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d9951c0>,CCCC(C#N)(SC)C(=O)OC,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d9950d0>,CCC1(OC(C)=O)CC2C(C)C21C#N,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d995a30>,CC[C]C(=O)CCCCC,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d995e40>,CC(C)C1CC(=O)C(C)(C(C)C)C1,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d995d50>,CCCCC(C)C(=O)C(C)(F)F,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d995f30>,CCC1(COC)CC1C,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d995b70>,CCC(C)C(=O)C(CC(C)C)C(=O)OC,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d995a80>,C=Cc1c[nH]cc1C(=O)O,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d995990>,CC(C)CC(C)(C)CCC#N,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d9958a0>,CCCC[Si](C)(CCC)OC(C)C,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d995c60>,C#C/C=C/C,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d9956c0>,CCCCC(CC(C)(C)CC=O)OCC,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d9957b0>,CC1(C)CC(C=O)C(=O)OC1(C)C(=O)C=O,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d9954e0>,CCOC(=O)CCC1(CCC=O)CC1,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d9953f0>,CCC1(C=O)CC(C)(C(C)=O)C1C#N,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d9955d0>,CCCCC(C)C(C)CSC,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d995210>,CC1(C2CCCOO2)CCCC1,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d995120>,CCC(C)(CC=O)CCC(C)C(=O)OC,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d995030>,CCCCCB(C)CC(C)C#N,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d98ff80>,CCCC(CC(C)C=O)C(C)(C)C,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d98fe90>,CCC(CC)CC(C=O)C(C=O)C(C)C,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d98fda0>,CC(=O)C(=O)C(C)(CC=O)C(C)OCC=O,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d98fcb0>,CC(=O)C(C)CC(C)(C)C(=O)CC#N,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d98fbc0>,CC(F)OC(=O)CCCC(C)(C)C,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d995300>,CCCC(C)C(CC)CCl,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d98f9e0>,CO[Si](C)(C)CCCC(=O)OC(C)=O,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d98f8f0>,CC1(CCC=O)CCCC1(C=O)C=O,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d98f800>,CC(C)(C)CCCC(=O)C(=O)CC#N,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d98fad0>,CCCCCC(C)C(C)C,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d98f620>,CCC1OC(C)(CC=O)C1(CC)C(=O)C=O,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d98f530>,CC(C)CC(=O)C(C=O)CCCC=O,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d98f440>,COC(=O)C1CC(=O)CCC1C,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d98f3a0>,CCCCC(=O)OCCOOCCC,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d98f300>,COC(=O)C1CCC1(C)C(C)=O,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d98f260>,COC(=O)C1(OC(=O)CF)CCCC1,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d98f080>,CCC(=O)C1(C(=O)OC)CCC1,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d98f710>,CCC(=O)C1CCCC1,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d98fdf0>,COc1cscc1[N+](=O)[O-],5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d98fd00>,CC1C2CC(C(=O)Cl)C12,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d98fc10>,CCC(=O)C(C)(C)C(C)(CC)CC,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d98fb20>,CCC1C(=O)OC(=O)C1(SC)C(=O)OC,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d98fa30>,CCC(CC)(CC(C)C)C(C)=O,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d98f940>,Cc1coc(=O)c(F)n1,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d98f850>,CC1(C=O)CC(C)(CC#N)C1(C)CC=O,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d98f760>,CCCCCC(C)C(C)(C)C#N,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d98f670>,CC(=O)c1ccc(C(=O)O)s1,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d98f580>,CC1CCC2C(=O)OC2C1,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d98f490>,CCC(=O)CC(C)OC(=O)C(C)=O,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d98f3f0>,CCC(C)C(F)CC(C)C,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d98f350>,CCCCCC1(C)OC(=O)C1CC,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d98f2b0>,CC(=O)OCCC(C)C(=O)COC(C)=O,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d98f170>,COC(C)(C=O)C(C)(C)CC(C)C,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d98fee0>,Cn1cc(N)cc1O,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d98f0d0>,CCC(CC(C)CCC=O)C(C)(C)C,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d989f30>,CCC(=O)OC(C)CC1CC1,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d98f1c0>,CCCCC(CC)CPCC,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d989d50>,C[C@@H]1CC[C@@H](O)C1,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d989c60>,COC(=O)C(C)CCCC(C)C(C)=O,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d989b70>,CCCC(CCOC)C(C=O)(CC)CC,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d989a80>,CCC(CC1CC(=O)OC1=O)OC,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d989990>,CCCC1(C)C(=O)CC(C)(C)C1C,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d9898a0>,CCCCC(C(=O)OC)C(C)CC(C)=O,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d989e40>,CCOC(=O)C(F)C#N,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d9896c0>,CCC(F)CCC(C#N)CF,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d9895d0>,CCCCN(C)C(C=O)C(C)C(C)=O,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d9894e0>,CC(=O)OC(C)CC(=O)OC=O,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d9897b0>,CS(=O)(=O)CCl,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d989300>,CCC(C)(C1CC1)C1CC1,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d989210>,CCCC(C)CCC(C)C=O,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d989120>,CC(=O)CC1CCC(F)C1,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d989030>,CC(C)C(C#N)C(=O)C(C=O)C(C)C,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d989f80>,CCC(CCCCF)C(=O)Cl,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d989e90>,CCCCCC1(C)CSCC1=O,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d989da0>,CCCC(Cl)(C#N)CC(C)(CC)CC,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d989cb0>,CCC1CCC2(C(C)=O)CC12C,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d989bc0>,CCCCC(C(=O)OC)C(=O)C(=O)OC,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d9893f0>,CCPCC1CC1,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d9899e0>,CCC(CCC(C)C)C(F)(F)C=O,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d9898f0>,CCC(CC#N)C(C)(C)CCCC=O,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d989800>,CC(CC(=O)CC#N)C(C)(C)C,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d989ad0>,CCCCOP(Cl)OCCC,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d989710>,CCC1SCC(C)C1CC,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d989530>,CCc1cncc(C(=O)O)n1,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d989440>,CCCCC(C)(C)CCC(=O)OC,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d989350>,CC1C(CC(F)F)C1(C)C,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d989260>,CC(=O)CC(C)CCCCOC(C)=O,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d989170>,CC(C#N)CC12CC(=O)OC1(C)C2C,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed0d989080>,CCC(C)(C)C1(C2CO2)CC(=O)OC1C,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed1473f3a0>,CN1CC[C@H](C#N)N(C)[C@@H]1C#N,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed1473f530>,CCCCC1CCC(F)(C2OO2)C1,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed1473f4e0>,CCC(OCC(C)OC(C)=O)C(C)=O,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed1473fee0>,CCCCC1CC(C(=O)OCC)C1,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed1473fdf0>,COC(=O)CCOC(=O)CCCCC=O,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed1473fd00>,CC(C)C1(C=O)CCCC1(C)C,5.0,0.991,0.973,0.842
<rdkit.Chem.rdchem.Mol object at 0x7fed1473fc10>,CC1CC2(C)CC1(C)C2,5.0,0.991,0.973,0.842
