molecule,smiles,condition,validity,unique,novelty
<rdkit.Chem.rdchem.Mol object at 0x7feee7daabc0>,CC1COC(=O)OC(C)(CN(C)C)C1,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7daacb0>,CCC(C(C)=O)C(=O)CC(=O)C(=O)CC=O,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7daa800>,CCC(C#N)CCC(C)CCC(C)C,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7daa8f0>,CCOC1CCC(=O)CC1CCC=O,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7daa9e0>,CCC(C)(CC#N)CC(C)(C)C(C)C,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7daaad0>,CCCC(=O)C(CC(C)C(C)C)C(C)=O,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7daa710>,CCC1OC(=O)OCCC1COC,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7daa620>,CCC1(C)CC(C)C2(C)CCC12C=O,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7daa530>,CCOC(=O)C(C#N)(CC#N)C(=O)CCC=O,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7daa440>,CCCC(C)CC(C)CC(C)C(=O)OC,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7daa350>,CCC(C#N)C(=O)CCC(C)CC=O,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7daa260>,CCC(C)C(C)C(C)(C)C1CC1C,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7daa170>,CCCC(C)C(CC)(CC#N)C(C)C,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7daa080>,CCCC(C)(CCC)CC(C)C(=O)OC=O,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7daaee0>,CCC(C)C(C(C)C)C(C)(C)C(C)C,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7daadf0>,CCC(=O)OC1OC(=O)C2C(C)C12C,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7daad00>,CCCCC(CC(C)C=O)C(C)CCC,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7daac10>,CC(C#N)CCC(C)C(C)(C)C(C)C,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7daab20>,CCCCC(=O)OCCCC(C)CC,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7daaa30>,CCC1N(C(C)C)C(C)CC1(C)C,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7daa940>,CC(C)CC(C)(C)C1(C)COC(=O)O1,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7daa850>,CCCCC(CC(C)OC(C)=O)OC(C)=O,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7daa760>,CCC(C)(CC)C(C#N)C(C)C(C)C,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7daa670>,CCCCCC1(OOC)CC1CC,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7daa580>,CC(=O)C(C)CCCCC(=O)C(=O)C=O,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7daa490>,CCC1CCC(=O)C(C=O)C1CC,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7daa3a0>,CC1(C)C2CC(=O)CC(OC=O)CC21C,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7fef0f3d1f80>,CCC1=CSC=C(N)S1,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7daa1c0>,CCCCC(C)CCCC(=O)CCC=O,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7daa0d0>,CCCCC(C#N)C(C=O)CCCC,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7da4f30>,COC(=O)C(C)(C=O)CCC(C)(C)C,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7da4e40>,CCCCC12COC(=O)OC1CN2C,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7da4d50>,CCCCN(CC)CC1COC(=O)O1,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7da4c60>,CCOCCC1(C)CC(=O)CCOC(=O)O1,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7da4b70>,CCCCCCC(=O)OC(C)(C)C=O,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7da4a80>,CCCC(C)CC1OC(=O)OC12COC2,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7da4990>,CCC(CC(C)C)C(C)C(C)C(=O)OC,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7da48a0>,C#CC1=C(OC)SC=CS1,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7da47b0>,CC(C#N)C(C(C)CC=O)C(C)(C)C,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7da46c0>,CCC(C=O)CCCC(CC)C(C)=O,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7da45d0>,CCCCCCCCC(=O)OCC,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7da4530>,CCCCC(C)CC(CCCC)C(C)C,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7da4490>,CCCC(=O)CCC(C#N)CC(C)C,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7da43f0>,CC(=O)COC(C)(C)C(=O)CCOC(C)=O,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7da4210>,CCC(C)(C)CCCCCC(C)=O,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7da4120>,CCCCC(CC=O)[PH](=O)CCC,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7daa2b0>,CCCC1(CC)SCCOS1,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7da4f80>,C[SiH2][Si](C)(C)[Si](C)CC[SiH],0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7da4e90>,CCC(C(C)(C)C)C(C)(CC#N)CC=O,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7da4da0>,CC(C)C1CC(=O)CC(C)(C=O)C1C,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7da4cb0>,CC1=CCC=C([C]([NH])O)S1,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7da4bc0>,CCCC(C(C)CC)S(C)(C)C,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7da4ad0>,CC(C=O)CC(C)(C=O)C(C)(C)CC#N,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7da49e0>,CCC1C(=O)C(C)(OC)CCC1C=O,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7da48f0>,CCCC(C)C(C=O)SC(C)(C)C,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7da4030>,CCCC(CC)S(=O)SC,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7da4710>,CCCC1CCC1(C)C(CC)CC,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7da4800>,CCCC(CCC)SCCC#N,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7da4580>,CCCCCC(C)(C)C(C#N)CC=O,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7da44e0>,COC(=O)CC(CCl)CC(C)C,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7da4440>,CCC1CCC(=O)OC1C(C)(C)CC,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7da4300>,CC1CCCCC(=O)C2(CC2)C1=O,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7da4350>,CCCCC1(C)CCCC1(C)C,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7da4260>,CCOCCC(=O)COC(=O)OCC,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7da4170>,CCC(=O)OCC(C#N)(CC)OC(=O)C=O,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7da4080>,CC(CCC#N)C(=O)CC(C)(C)C,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7d9dee0>,CC1OC(=O)C1(C=O)C(C=O)C(C)(C)C,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7d9ddf0>,CCC(=O)C(C)OC(=O)C(C)C(=O)CC,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7d9dd00>,CCC(C)(CCCC(C)C)CC(C)=O,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7d9dc10>,CCCCC(=O)OCCCCC(C)=O,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7d9db20>,CCC(C=O)CC(Cl)(Cl)CCl,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7d9da30>,CC(=O)CC(=O)CCCCC(C)C#N,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7d9d940>,CC1(C)CC1(C#N)CCCC(F)(F)F,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7d9d850>,CCC1(C)C(C)CCC1C(=O)C#N,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7d9d760>,CCCCCC(CCC)C(C)C(C)C,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7d9d670>,CCCC(CC)CC(C=O)CSC,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7d9d580>,C#C[C@@H]1C=CSC=C1NC,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7d9d490>,CC(C)(CC=O)CCCCCC(=O)C=O,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7d9d3a0>,CCO[Si](CC(CC)CC)(OCC)OCC,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7d9d2b0>,CCCCCCOC(=O)C(CC)C(=O)C=O,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7d9d1c0>,CCCC1CC(=O)CCC1C(C)=O,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7d9d0d0>,CCC(C)C(=O)C(C)(CC#N)CCOC,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7d9df30>,CNc1cc(F)cc2c1ONO2,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7d9de40>,CCCC(C)(CCl)OC(=O)C(C)CC,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7d9dd50>,CCCC(CC)CC(C)C(=O)C(F)F,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7d9dc60>,COc1ccsc1N(C)C,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7d9db70>,CCCC(C)CCC(C)SCC,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7d9da80>,CCC1(C)CC(C)(C)C(=O)C1CCl,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7d9d990>,CCC1(C)C(C=O)CC(=O)OCC(=O)C1C,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7d9d8a0>,CC1(C)C(=O)C(=O)C1CCCCC#N,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7d9d7b0>,CCCC(C)C(C)C(C)C(=O)CC#N,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7d9d6c0>,CC(=O)C(C)CCCCCCC=O,0.0,0.997,0.97,0.908
<rdkit.Chem.rdchem.Mol object at 0x7feee7d9d5d0>,CCCC1C(C#N)C(C)C1(C=O)CC,0.0,0.997,0.97,0.908
