molecule,smiles,condition,validity,unique,novelty
<rdkit.Chem.rdchem.Mol object at 0x7fb9701be850>,CCCCC1(CCCC)[B]CC1,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb98a0e71c0>,CC(=O)C(C#N)C1(C)CC(C(F)(F)F)C1C,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb991d23df0>,CCC1C2C(=O)C(C)C1S(=O)(=O)C(CC)C2C,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb9701bed00>,CCC(=O)OC(C)CCCC(CC)C(=O)OC=O,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb9701bea30>,CCCCC(CC)COC(=O)C(C)S(=O)(=O)OC,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb9701beb20>,CCC(C)S(=O)(=O)CC1CC2(CC)CCC1C2,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb9701be760>,CCS(=O)(=O)C(CCC=O)CC1(C)CCC1=O,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb9701be670>,CCC1C2CC(C(C)CCCC2C)C1(C)C,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb9701be940>,CCC(C(C)C(C1CC1)S(=O)(=O)OC)S(C)(=O)=O,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb9701be490>,CCCC1CS(=O)(=O)C(C(CC)CCC)C1=O,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb9701be580>,CC(C)C1COC(=O)C(C)(CC=O)C(=O)C1=O,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb9701be2b0>,CCC(CC(F)(F)CC)N(C)CC(=O)OC,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb9701be1c0>,CCS(=O)(=O)CCCC(C)CC(C)CC=O,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb9701be0d0>,CCCC(=O)C(CC)C1OC(CC)C(=O)C1C,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb9701bef30>,CCCC(C)CCC(C)CC(CS(=O)(=O)OC)OC,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb9701bee40>,CC1CCC(C)(C(C=O)CC#N)C(C(C)C)C1,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb9701bed50>,CCCC(=O)C1CC(COC)C(C)CC1(C)C=O,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb9701bec60>,COCC1(COC(=O)OC)C(C)CCC(C)C1C,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb9701beb70>,CCCCC(F)C(F)CC#N,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb9701bea80>,CC[Si](CC)(CC)OCCC1OC(=O)CC1C,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb9701be990>,CCCC(Cl)C(CCC)C(C)S(C)(=O)=O,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb9701be8a0>,CC1C(C#N)CC23C(=O)CCCC2C13C=O,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb9701be7b0>,CCC(C)(CCCC(C)C=O)C(=O)C(C)(C)C,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb9701be6c0>,CCCOC(=O)OCCCC(C=O)CC(C)C,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb9701be5d0>,CC1(C)CC(CC#N)OC1=O,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb9701be3a0>,CC(=O)S(=O)(=O)C(=O)C1C(C)CCC(=O)C1C,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb9701be3f0>,CCCCC(CCC#N)CCCC(C)CCC,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb9701be300>,CCCCC(=O)CC(CCC#N)CCC=O,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb9701be210>,CCCCCC(CCC)C(=O)OC=O,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb9701be120>,CCCCCCCC(CC)CCCC(C)CCC(C)CC,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb9701be030>,CCC1(C=O)CC1(CCC#N)C(=O)C(C)=O,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb9701b8f80>,CCCCC(COC(=O)OCC)C(C)C#N,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb9701b8e90>,CCC1(OC(C#N)C#N)CCS(=O)(=O)C1C,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb9701b8da0>,CC(=O)OCCC(C)S(C)(=O)=O,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb9701b8cb0>,CC(CC1CC1C)CC1CC2CC12,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb9701b8bc0>,CCC(CCCC(=O)C(C)C)CCC(C)C=O,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb9701b8ad0>,CCCCC[Si]1(O[Si](C)(C)C)CCCCC1,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb9701b89e0>,CCC1C(C)(CC)CCC(=O)C12CC(=O)C2,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb9701be4e0>,CCOC(=O)CC(CS(=O)(=O)CCF)C(=O)OCC,5.0,0.996,1.0,0.941
<rdkit.Chem.rdchem.Mol object at 0x7fb9701b8800>,CCC(C)C1OC(=O)OC2CC2C(=O)O1,5.0,0.996,1.0,0.941
