molecule,smiles,condition,validity,unique,novelty
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce94b70>,CCC1C(C)CCC2CC1C1CC3CC2C31,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce94c60>,COC(=O)OC1CN(C)CC2(C)CN(C1)C2=O,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce980d0>,COC1CCCC12OC(=O)OC2(C)CN(C)C(C)C,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce94e40>,CCC(C)C1CCC(CCN(C)C=O)C1,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce94a80>,CCC(C)C1C(C)C1CC(C)C1CC1C,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce94990>,CC(C)C1CC2CC1C1C3CCC(C3)C21,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce948a0>,CC1C2CC3CC4CC1C(C3)C2C4,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce947b0>,CC1CC(C2CCN(C)C2)CCS1(=O)=O,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce946c0>,CCCCOC(=O)OC(C)CCOC(C)CN(C)C,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce945d0>,CCCCC(C)OC(=O)OCCCCC(C)N(C)C,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce944e0>,CCC(CC)[Si](C)(C)C1CC(C)C(C)C1,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce943f0>,CCCC(C)(C)CCCC(C)CCSC,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce94300>,CC1CCC2(C)C3CC1C1C(=O)C2C13,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce94d50>,CCCCCC(C=O)C(CC)O[Si](C)(C)C(C)(C)C,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce94120>,CCCOC(=O)OC(CCCCN(C)C)OCC,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce94210>,CCC(CCC(C)N(C)C)C(CC)CS(C)(=O)=O,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce94f80>,CC1CN(C)C2C3CCCC(CC#N)C132,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce94e90>,CCCCCCCCCCC(C)CC[Si](C)(OC)OC,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce94da0>,COC(=O)OCCC12CN(C)CCC1CCC2C,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce94cb0>,CCC(C)(CC1C(C)C1C)C(C)C,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce94030>,CCC1C2CC3C(CC(C)C2(C)C3CC)C1(C)CC,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce94bc0>,CCOC(=O)OCC(C#N)CC(CN(C)C)N(C)C=O,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce94ad0>,CC1(C(=O)O[Si](C)(C)C(C)(C)C)CC2CCCC(C2)C1,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce948f0>,COCC(COC(=O)OC(C)C)CC(C)CN(C)C,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce94800>,CCC1N(C)CCC1(C)OCOC(=O)OC(C)C,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce949e0>,CCCCCC(CCl)CSCC,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce94620>,CCN(C)C1COC(=O)OC(CCOC)CCC1C,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce94710>,CCOCC1COC(=O)OC(C(C)C)C1(C)N(C)C,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce94440>,CCC1CCC(C)C2C3CC3C1C2CC,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce94350>,CCSCCSC(=O)CCCS(C)(=O)=O,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce94260>,CCCCCC(C)(C)CCC(=O)C(CCCC)SC,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce94530>,CCN(C)C(CCC=O)C(CS(C)(=O)=O)C(C)C,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce94080>,CCCCC(C)OC(=O)OCC(C)CCN(C)C,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce8eee0>,CCC1C2CCC3CC32C1(C)C,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce8edf0>,CC1(C2CCCCN(C3CC3)C2)COC(=O)O1,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce8ed00>,CCC(C)OC(=O)OCC(C)CCN(C)C,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce94170>,CC(=O)N(C)CC1CCCC(N(C)C)C(C)OC(=O)O1,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce8ec10>,CCC(C)CCCC(C)CC(C)[Si](OC)(OC)OC,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce8ea30>,CCC1(C)CC2CC(C)C1C(=O)N(C)CC2C,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce8e940>,CC(C)C1OC1(C)C(C=O)C1(C)CC1,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce8e850>,CCCCC(CCCC)SCCC1CCCCC1,5.0,0.984,0.993,0.962
<rdkit.Chem.rdchem.Mol object at 0x7ff31ce8e760>,CC1COCOC(=O)OCC2C3CCCC3N12,5.0,0.984,0.993,0.962
