molecule,smiles,condition,validity,unique,novelty
<rdkit.Chem.rdchem.Mol object at 0x7f54139906c0>,CCC(C)CCCC(CC)C(C)CCCC(F)CC,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f5413990210>,CCC(C)(C)CCC(C(C)C)C(C)(C)CC,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f5413990300>,CCC1CC2C(C)CC(C)C2CC12CC2F,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f54139903f0>,CCCCCCCC(C)(C(C)CCCC)C(C)C(C)CC,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f54139904e0>,CCCC(C)C(CC)CCCC(CC)CC,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f5413990120>,CCCCCC(C)(C)CCCCOCCC,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f5413990030>,CCCC(C)(C)C(CC)CCCC(C)(C)C,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f542d473170>,CCC(C)C(C)C(C)C(CC(C)C)C(CC)C(C)CC,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f541398ee90>,CCCCCC(C)CC(C)CCC(C)CCC(CC)CC,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f541398eda0>,CCCCCCCCCCC(C)CCCCCCC(C)C,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f541398ecb0>,CCC(C)[B]C(C)(C)CCC(C)C,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f541398ebc0>,CCC(C)CCCC(CC)C(C)(C)C(C)CC,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f541398ead0>,CCCC(C)CCCC(CCC(C)C)CC(C)CC,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f541398e9e0>,CCCCCCCCCC(C)CC(C)CCC,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f541398e8f0>,CCCCCCC(CC)CCCCCCCC(C)CC,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f541398e800>,CCCCCC(CC)CCCC(C)CCCC(C)CC,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f541398e710>,CCCCCCCCCCCCCCCCC(C)F,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f541398e620>,CCCCCCC(CCCCCCCC(C)C)C(C)C,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f541398e530>,CCOCCC(C)(C)CC(C)CC(C)C,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f541398e440>,CCCCC(CC)CC(C)(CC)C(C)C,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f541398e350>,CCCCC(C)CC(C)C(C)(C)CC(CC)C(C)C,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f541398e260>,CCCCC(C)C(CC)OCC(C)(C)CC,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f541398e170>,CCCCCC(CC)CCCC(C)(C)CCCC(C)CC,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f541398e080>,CCC(CCCCC(C)C(C)(C)C)CC(C)C,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f541398eee0>,CCCCCCCCB(CC)CCCC(C)C,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f541398edf0>,CCC(C)CC(C)CCC(F)C(C)C,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f541398ed00>,CCOCC(C(C)C)C(C)(C(C)C)C(C)(C)C,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f541398ec10>,CCCCCCCCCCCCCC(C)CCCC,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f541398eb20>,CCCCCC(CCC)C(C)C,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f541398ea30>,CC1CCCC2(F)CCC3C1C32C,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f541398e940>,CCC(C)CCCCCCC(CC)OC(C)(C)CC,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f541398e850>,CCCC(C)(CC)CC(C)CCCC(C)C,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f541398ef80>,CC(C)(C)CC(C)(C)C(C)(C)C(C)(C)C(C)(C)C,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f541398e670>,CCCC(C)CCC(CC)CCC,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f541398e580>,CCC(CC)CCOCC(C)C(C)(CC)CC,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f541398e490>,CCCCC(CC)CCC(C)CC,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f541398e760>,CC(C)CCC(C(C)C)C(CC(C)C)C(C)C(C)C,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f541398e2b0>,CCC(C)CC(C)CC(CC)C(CC)CC,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f541398e1c0>,CCCCCCC(C)(CC(CC)CC)C(C)C,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f541398e0d0>,CCCCCCCCC(CCC)C(C)CCCCC,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f5413987f30>,CCC(CCCCC(CC)C(C)C(C)C)C(C)C,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f5413987e40>,CCCCC(C)(CC)CCCC(C)CC(C)C,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f5413987d50>,CCCCCCCCC(C)CC(C)C,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f5413987c60>,CCCCCC(CC)CCC(CCCC)C(C)C,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f5413987b70>,CCCCC(CCC)CC(CC)CC,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f5413987a80>,CCCCOCCCC(CCC)C(C)C(C)C,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f5413987990>,CCCCC(C)C(C)CCCC(CCC)C(C)C,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f54139878a0>,CCCCCCCC(CC)C(C)CCCCC(C)C,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f54139877b0>,CC(C)CCCC(C)CCC(C(C)C)C(C)C(C)C,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f541398e3a0>,CCCC(C)CCCCC(C)(CC)C(C)C(C)CC(C)C,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f5413987620>,CCCCCCCOCC(C)C(C)C(C)C,5.0,0.996,0.931,0.909
<rdkit.Chem.rdchem.Mol object at 0x7f5413987580>,CCCC(C)CC(CC)CCC(CC)CC(C)C,5.0,0.996,0.931,0.909
