molecule,smiles,validity,unique,novelty
<rdkit.Chem.rdchem.Mol object at 0x7fc6e87018a0>,CCCCCCCCCCCCCCCC(C)C(C)CC,1.0,0.041,0.84
<rdkit.Chem.rdchem.Mol object at 0x7fc70ae39c10>,CCCCCCC(C)C(C)C(C)C(C)CCCCCC,1.0,0.041,0.84
<rdkit.Chem.rdchem.Mol object at 0x7fc6e86fbda0>,CCCCCCCCCCCCC(C)CCCCCCC,1.0,0.041,0.84
<rdkit.Chem.rdchem.Mol object at 0x7fc6e86fbe90>,CCCCCCCCCCCCCCCC(C)CCCC,1.0,0.041,0.84
<rdkit.Chem.rdchem.Mol object at 0x7fc6e86fb9e0>,CCCCCCCC(C)C(C)CC(C)CCCCC,1.0,0.041,0.84
<rdkit.Chem.rdchem.Mol object at 0x7fc6e86fbad0>,CCCCCCCCCCCCCCCCC(C)CCC,1.0,0.041,0.84
<rdkit.Chem.rdchem.Mol object at 0x7fc6e86fbbc0>,CCCCCCC(C)C(C)C(C)C(C)CCCCC,1.0,0.041,0.84
<rdkit.Chem.rdchem.Mol object at 0x7fc6e86fbcb0>,CCCCCCCCC(C)CCCCCCCC(C)CC,1.0,0.041,0.84
<rdkit.Chem.rdchem.Mol object at 0x7fc6e86fb8f0>,CCCCCCCCCCCCC(C)C(C)C(C)CCC,1.0,0.041,0.84
<rdkit.Chem.rdchem.Mol object at 0x7fc6e86fb800>,CCCCCCCCCCCCCCCCCC(C)CC,1.0,0.041,0.84
<rdkit.Chem.rdchem.Mol object at 0x7fc6e86fb710>,CCCCCCCCCCCCCCCCCC(C)CC,1.0,0.041,0.84
<rdkit.Chem.rdchem.Mol object at 0x7fc703353f80>,CCCCC(C)C(C)C(C)C(C)C(C)C(C)C(C)CC,1.0,0.041,0.84
<rdkit.Chem.rdchem.Mol object at 0x7fc6e86fb530>,CCCCCCCCCCCCCCC(C)C(C)CCC,1.0,0.041,0.84
<rdkit.Chem.rdchem.Mol object at 0x7fc6e86fb440>,CCCCCCCCCCCCCCCCCC(C)CCC,1.0,0.041,0.84
<rdkit.Chem.rdchem.Mol object at 0x7fc6e86fb350>,CCCCCCCCCCCCCCCCCCC(C)CC,1.0,0.041,0.84
<rdkit.Chem.rdchem.Mol object at 0x7fc6e86fb260>,CCCCCC(C)CCCC(C)CCCC(C)CCC,1.0,0.041,0.84
<rdkit.Chem.rdchem.Mol object at 0x7fc6e86fb170>,CCCCCCCCCCCCCCCCCCCCCCC,1.0,0.041,0.84
