molecule,smiles,validity,unique,novelty
<rdkit.Chem.rdchem.Mol object at 0x7f57c338e7b0>,CCN1CC1C1C(=O)OC2OC(=O)OC21,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c338e6c0>,CCC12OCOC13CC(=O)N(C(=O)C=O)C23,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c338e300>,CC(C)CCOC(C)(OCCC=O)S(C)(=O)=O,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c33a7a30>,C#[Si]COPOC,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c338e3f0>,CCCC1C(=O)OCC(CS(=O)(=O)OC)C1(C)CC,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c338e5d0>,CN([Si][Si](C)(Cl)Cl)[SiH](C)C,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c338e4e0>,CC(=O)CC(C(C)C=O)C1N(C)C1(C)CC=O,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c338e210>,CCCC(CCN(CC#N)[SH](C[C](OC)OC)OC)OC,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c338e030>,CP(=O)(CCCl)OCCCl,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c338e120>,CSP1CSCP1,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c338ef80>,CCC#SP,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c338eda0>,CO[C]1OB(F)C(C)C(F)C2CCCB1B2F,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c338ecb0>,CC(=O)OC12CSS(=O)OC13COP(OC3)O2,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c338ee90>,CCCCC(C)PC,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c338ebc0>,CN(C)[Si](C)([SH](C)SC(C)(C)Cl)[Si](C)(C)P,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c338ead0>,C#C[CH][C]CCC1(B(OC)OCCC)CCCC1,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c338e9e0>,CCC(C(C)COC)N1COC(=O)OC(C)(C#N)C1,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c338e8f0>,COCC1OC(=O)OC(C(CN(C)C)C(C)(C)C)C1C,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c338e800>,CN1C=C[C](C2=C[AlH]C=C[C@H]2N)C=C1C1=CC=C[B]B1,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c338e620>,CC1OBC1([Si])C[Si],0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c338e530>,COC(C)CCOC(=O)OC(CC#N)CC=O,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c338e710>,CN(CCCl)CCCl,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c338e440>,CCC(CB1OC(C)(C)C(C)(C)O1)C(=O)OC,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c338e350>,CCN(C)C(C=O)C(=O)C1OCOC(=O)OC1C[S],0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c338e170>,COP1OB(C)C(C)(CCCl)C1C,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c338e260>,CC(=O)CC(Cl)(Cl)N1C=CP2CC1[CH]C[CH]SC[C:7]2,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c338e080>,[B]SCC,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3389df0>,CCC(F)(F)CC(C)CP,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3389d00>,CN1CC2C3COC4CC(CS2(=O)=O)C31C4,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3389ee0>,CCF,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3389b20>,CCC(S[Si](C)C)[Si](=[Si])[Si]C,0.406,0.984,0.976
<rdkit.Chem.rdchem.Mol object at 0x7f57c3389c10>,CCN(C)CC(CPC(CN(C)C)C(C)C)N(C)C=O,0.406,0.984,0.976
